name,sourceid
Coastal Roadways Limited,55054
Cochin Minerals & Rutile Limited,55056
Colgate-Palmolive (India) Limited,55058
Colinz Laboratories Limited,55061
Combat Drugs Limited,55063
Comfort Intech Limited,55065
Comp-U-Learn Tech India Limited,55067
Compact Disc India Limited,55069
Competent Automobiles Company Limited,55072
Compuage Infocom Limited,55074
Compucom Software Limited,55076
Compulink Systems Limited,55078
Computech International Limited,55081
Computer Point Limited,55084
Computerskill Limited,55086
Conart Engineers Limited,55088
Concurrent (India) Infrastructure Limited,55090
Confidence Petroleum India Limited,55092
Consolidated Construction Consortium Limited,55094
Consolidated Finvest and Holdings Limited,55097
Consolidated Securities Limited,55100
Container Corporation Of India Limited,55102
Contil India Limited,55105
Continental Controls Limited,55107
Control Print Limited,55109
Coral India Housing Limited,55111
Coral Laboratories Limited,55114
Coral Newsprints Limited,55116
Cords Cable Industries Limited,55118
Core Projects and Technologies Limited,55121
Coromandel Agro Products & Oil Limited,55124
Coromandel Engineering Company Limited,55126
Coromandel International Limited,55128
Corporation Bank,55131
Cosco (India) Limited,55134
Cosmo Ferrites Limited,55136
Cosmo Films Limited,55138
Country Club (India) Limited,55141
Country Condos Limited,55143
Coventry Coil-O-Matic (Haryana) Limited,55146
Cox and Kings (India) Limited,55148
Cranes Software International Limited,55151
Cranex Limited,55154
Cravatex Limited,55156
Crazy Infotech Limited,55158
Creative Eye Limited,55160
Cressanda Solutions Limited,55163
Crest Animation Studios Limited,55165
Crew B.O.S. Products Limited,55168
Crompton Greaves Limited,55171
Cronimet Alloys India Limited,55174
Crystal Software Solutions Limited,55177
Cubex Tubings Limited,55179
Cubical Financial Services Limited,55182
Cummins India Limited,55184
Cupid Limited,55187
Cupid Trades & Finance Limited,55189
Cybele Industries Limited,55191
Cyber Media (India) Limited,55193
Cybermate Infotek Limited,55196
Cyberscape Multimedia Limited,55198
Cybertech Systems & Software Limited,55200
D & H Welding Electrodes (India) Limited,55203
D B Corp Limited,55205
D B Realty Limited,55208
D C M Financial Services Limited,55211
D C M Limited,55214
D C M Shriram Consolidated Limited,55217
D C M Shriram Industries Limited,55220
D C W Limited,55223
D F M Foods Limited,55226
D H P India Limited,55228
D I L Limited,55230
D J S Stock & Shares Limited,55232
D L F Limited,55234
D Link (India) Limited,55237
D P S C Limited,55240
